abstract,title
"  We study the effects of the interaction terms between the inflaton fields on
the inflationary dynamics in multi-field models. With power law type potential
and interactions, the total number of e-folds may get considerably reduced and
can lead to unacceptably short period of inflation. Also we point out that this
can place a bound on the characteristic scale of the underlying theory such as
string theory. Using a simple multi-field chaotic inflation model from string
theory, the string scale is constrained to be larger than the scale of grand
unified theory.
",Sustainability of multi-field inflation and bound on string scale
"  We investigate magnetic-field asymmetries in the linear transport of a
mesoscopic conductor interacting with its environment. Interestingly, we find
that the interaction between the two systems causes an asymmetry only when the
environment is out of equilibrium. We elucidate our general result with the
help of a quantum dot capacitively coupled to a quantum Hall conductor and
discuss the asymmetry dependence on the environment bias and induced dephasing.
","On the validity and breakdown of the Onsager symmetry in mesoscopic
  conductors interacting with environments"
"  The area distance to a convex plane curve is an important concept in computer
vision. In this paper we describe a strong link between area distances and
improper affine spheres. This link makes possible a better understanding of
both theories. The concepts of the theory of affine spheres lead to a new
definition of an area distance on the outer part of a convex plane arc. Also,
based on the theory of discrete affine spheres, we propose fast algorithms to
compute the area distances. On the other hand, area distances provide a good
geometrical understanding of improper affine spheres.
",Area distances of Convex Plane Curves and Improper Affine Spheres
"  We consider a mixture of single-component bosonic and fermionic atoms with an
interspecies interaction that is varied using a Feshbach resonance. By
performing a mean-field analysis of a two-channel model, which describes both
narrow and broad Feshbach resonances, we find an unexpectedly rich phase
diagram at zero temperature: Bose-condensed and non-Bose-condensed phases form
a variety of phase-separated states that are accompanied by both critical and
tricritical points. We discuss the implications of our results for the
experimentally observed collapse of Bose-Fermi mixtures on the attractive side
of the Feshbach resonance, and we make predictions for future experiments on
Bose-Fermi mixtures close to a Feshbach resonance.
","Phase separation and collapse in Bose-Fermi mixtures with a Feshbach
  resonance"
"  The Weyl curvature includes the Newtonian field and an additional field, the
so-called anti-Newtonian. In this paper, we use the Bianchi and Ricci
identities to provide a set of constraints and propagations for the Weyl
fields. The temporal evolutions of propagations manifest explicit solutions of
gravitational waves. We see that models with purely Newtonian field are
inconsistent with relativistic models and obstruct sounding solutions.
Therefore, both fields are necessary for the nonlocal nature and radiative
solutions of gravitation.
","On the Significance of the Weyl Curvature in a Relativistic Cosmological
  Model"
"  The first passage times for enzymatic turnovers in non-equilibrium steady
state display a statistical symmetry property related to non-equilibrium
fluctuation theorems, that makes it possible to extract the chemical driving
force from single molecule trajectories in non-equilibrium steady state. Below,
we show that this system violates the general expectation that the number of
decay constants needed to fit a first passage time distribution reflects the
number of states in the escape problem. In fact, the structure of the kinetic
mechanism makes half of the decay times vanish identically from the turnover
time distribution. The terms that cancel out correspond to the eigenvalues of a
certain sub-matrix of the master equation matrix for the first exit time
problem. We discuss how these results make modeling and data analysis easier
for such systems, and how the turnovers can be measured.
",Decay times in turnover statistics of single enzymes
"  Let R be a two-dimensional regular local ring with maximal ideal \mathfrak m,
and let \wp be a simple complete \mathfrak m-primary ideal which is residually
rational. Let R_0:= R\subsetneqq ...\subsetneqq R_r be the quadratic sequence
associated to \wp, let \Gamma_\wp be the value-semigroup associated to \wp, and
let ((e_j(\wp))_{0\leq j\leq r} be the multiplicity sequence of \wp. We
associate to \wp a sequence of natural integers, the formal characteristic
sequence of \wp, and we show that the value-semigroup, the multiplicity
sequence and the formal characteristic sequence are equivalent data.
Furthermore, we give a new proof that \Gamma_\wp is symmetric, and give a
formula for c_\wp, the conductor of \Gamma_\wp, in terms of entries of the
Hamburger-Noether tableau of \wp.
","On the value-semigroup of a simple complete ideal in a two-dimensional
  regular local ring"
"  A Bethe-Salpeter-Faddeev (BSF) calculation is performed for the pentaquark
$\Theta^+$ in the diquark picture of Jaffe and Wilczek in which $\Theta^+$ is a
diquark-diquark-${\bar s}$ three-body system.
  Nambu-Jona-Lasinio (NJL) model is used to calculate the lowest order diagrams
in the two-body scatterings of ${\bar s}D$ and $D D$. With the use of coupling
constants determined from the meson sector, we find that ${\bar s}D$
interaction is attractive while $DD$ interaction is repulsive, and there is no
bound $\frac 12^+$ pentaquark state. A bound pentaquark $\Theta^+$ can only be
obtained with unphysically strong vector mesonic coupling constants.
","A Faddeev Calculation for Pentaquark $\Theta^+$ in Diquark Picture with
  Nambu-Jona-Lasinio Type Interaction"
"  In this note we give a quick and simple proof of the existence (and
uniqueness) of Zariski decompositions on surfaces. While Zariski's original
proof employs a rather sophisticated procedure to construct the negative part
of the decomposition, the present approach is based on the idea that the
positive part can be constructed from a maximality condition. It may also be
useful that this approach yields a practical algorithm for the computation of
the positive part.
",A simple proof for the existence of Zariski decompositions on surfaces
"  These lectures present an introduction to AdS-CFT, and are intended both for
begining and more advanced graduate students, which are familiar with quantum
field theory and have a working knowledge of their basic methods. Familiarity
with supersymmetry, general relativity and string theory is helpful, but not
necessary, as the course intends to be as self-contained as possible. I will
introduce the needed elements of field and gauge theory, general relativity,
supersymmetry, supergravity, strings and conformal field theory. Then I
describe the basic AdS-CFT scenario, of ${\cal N}=4 $ Super Yang-Mills's
relation to string theory in $AdS_5\times S_5$, and applications that can be
derived from it: 3-point functions, quark-antiquark potential, finite
temperature and scattering processes, the pp wave correspondence and spin
chains. I also describe some general properties of gravity duals of gauge
theories.
",Introduction to AdS-CFT
