Step,Training Loss
5,3.173800
10,3.057400
15,3.037600
20,2.824400
25,2.722400
30,2.574100
35,2.441000
40,2.311700
45,2.204600
50,2.234900
55,2.234000
60,2.157400
65,2.223400
70,2.165900
75,2.170700
80,2.223200
85,2.227300
90,2.162600
95,2.222800
100,2.225000
105,2.233500
110,2.282100
115,2.258900
120,2.221200
125,2.183900
130,2.217900
135,2.135700
140,2.193600
145,2.253800
150,2.169300
155,2.179000
160,2.216300
165,2.209900
170,2.223300
175,2.197500
180,2.291300
185,2.207600
190,2.217900
195,2.247600
200,2.227000
205,2.188900
210,2.207200
215,2.205300
220,2.186600
225,2.123900
230,2.190000
235,2.185200
240,2.207800
245,2.135400
250,2.238800
255,2.162300
260,2.151900
265,2.158700
270,2.255200
275,2.224400
280,2.201900
285,2.168600
290,2.188000
295,2.190900
300,2.280700
305,2.164900
310,2.162600
315,2.135100
320,2.209700
325,2.225100
330,2.189900
335,2.162200
340,2.168900
345,2.197900
350,2.149100
355,2.242800
360,2.136600
365,2.232200
370,2.188100
375,2.239100
380,2.230800
385,2.250700
390,2.178000
395,2.255900
400,2.212200
405,2.206700
410,2.124600
415,2.232700
420,2.199900
425,2.176700
430,2.139500
435,2.177600
440,2.187900
445,2.155800
450,2.186600
455,2.188600
460,2.158800
465,2.167300
470,2.184200
475,2.184200
480,2.189100
485,2.254200
490,2.196600
495,2.069600
500,2.180500
505,2.117000
510,2.164800
515,2.109000
520,2.218100
525,2.161500
530,2.124600
535,2.216000
540,2.149800
545,2.182700
550,2.204300
555,2.142100
560,2.205100
565,2.190700
570,2.203900
575,2.109500
580,2.198000
585,2.183500
590,2.164900
595,2.130300
600,2.152900
605,2.134400
610,2.136800
615,2.152800
620,2.174600
625,2.242200
630,2.058600
635,2.049100
640,2.054700
645,2.009400
650,2.046300
655,2.024200
660,2.055800
665,2.065700
670,2.057300
675,2.043000
680,2.048900
685,2.069900
690,2.076400
695,2.092400
700,2.051500
705,2.020500
710,2.068000
715,2.010600
720,2.112900
725,2.004300
730,2.099700
735,2.085600
740,2.084700
745,2.029900
750,2.008900
755,2.040600
760,2.025700
765,2.100300
770,2.044500
775,2.047500
780,2.025200
785,2.036700
790,2.038400
795,2.064800
800,2.098900
805,2.160700
810,2.038600
815,2.016900
820,2.108700
825,2.066500
830,2.047600
835,2.035500
840,2.100300
845,2.100100
850,2.086000
855,2.082200
860,2.074300
865,2.103200
870,2.024500
875,2.115100
880,2.045600
885,2.044800
890,1.980300
895,2.063600
900,2.041200
905,2.062200
910,2.050900
915,2.056800
920,2.066100
925,2.134800
930,2.058600
935,2.036600
940,2.012300
945,2.103200
950,2.150600
955,2.135100
960,2.070100
965,2.124600
970,2.068100
975,2.089000
980,2.023100
985,2.053900
990,2.041800
995,2.027500
1000,2.069800
1005,2.053800
1010,1.991300
1015,2.060200
1020,2.059300
1025,2.106000
1030,2.018500
1035,2.004700
1040,2.080200
1045,2.014000
1050,2.106800
1055,2.092400
1060,2.020800
1065,2.046200
1070,2.062000
1075,2.093300
1080,1.974000
1085,2.102400
1090,2.061300
1095,2.010500
1100,2.029400
1105,2.107000
1110,2.020400
1115,2.072700
1120,2.056400
1125,2.022200
1130,2.059400
1135,2.042700
1140,2.059700
1145,1.974000
1150,2.005700
1155,2.078900
1160,2.105600
1165,2.054300
1170,2.047000
1175,2.094000
1180,2.044900
1185,2.003200
1190,2.048400
1195,2.056000
1200,2.034700
1205,2.024200
1210,1.975100
1215,2.014500
1220,2.043700
1225,2.036800
1230,2.091300
1235,2.120600
1240,2.049500
1245,1.987200
1250,2.053600
1255,2.035300
1260,2.037600
1265,1.972800
1270,2.026200
1275,1.999000
1280,2.066300
1285,1.989500
1290,2.020800
1295,2.006700
1300,2.022400
1305,2.016300
1310,2.014000
1315,2.027300
1320,1.972000
1325,1.944500
1330,1.996400
1335,1.992900
1340,1.996000
1345,2.044500
1350,1.974400
1355,2.035400
1360,2.032100
1365,1.994100
1370,2.025600
1375,1.935000
1380,1.924000
1385,2.020900
1390,2.048300
1395,2.042900
1400,1.981900
1405,2.025300
1410,1.981200
1415,1.988100
1420,1.979200
1425,2.033400
1430,2.015000
1435,2.006600
1440,2.022000
1445,2.026500
1450,2.069400
1455,2.080100
1460,1.999900
1465,1.983800
1470,2.013800
1475,1.981800
1480,2.045300
1485,2.008800
1490,1.995800
1495,1.994400
1500,2.010400
1505,2.002900
1510,2.008600
1515,1.937300
1520,2.022500
1525,2.003400
1530,1.960500
1535,2.006700
1540,1.932300
1545,1.954600
1550,1.990200
1555,2.022000
1560,1.993400
1565,1.965800
1570,2.052200
1575,2.030300
1580,2.010900
1585,1.901300
1590,2.085600
1595,2.000700
1600,2.059900
1605,2.013300
1610,2.075100
1615,1.986800
1620,1.973800
1625,1.964000
1630,2.029100
1635,1.987500
1640,2.002900
1645,1.985800
1650,1.991800
1655,2.029200
1660,2.024900
1665,2.075000
1670,1.974800
1675,1.933300
1680,1.955500
1685,1.978100
1690,1.969700
1695,1.981000
1700,2.013500
1705,1.975900
1710,2.056000
1715,2.042100
1720,1.977700
1725,1.967200
1730,1.978300
1735,2.009100
1740,2.069500
1745,2.062100
1750,1.940200
1755,2.067700
1760,1.999300
1765,1.972500
1770,2.021300
1775,2.024000
1780,2.002700
1785,2.040800
1790,2.012700
1795,1.973400
1800,2.029600
1805,2.003600
1810,2.052000
1815,1.967000
1820,2.021800
1825,1.999400
1830,2.062900
1835,2.035500
1840,2.007000
1845,2.043300
1850,2.018600
1855,1.994900
1860,1.946800
1865,1.956900
1870,2.007300
1875,2.015400
