Step,Training Loss
10,3.171100
20,3.001000
30,2.780200
40,2.585900
50,2.461700
60,2.449900
70,2.439400
80,2.440200
90,2.438100
100,2.462100
110,2.495600
120,2.467100
130,2.421900
140,2.390300
150,2.441500
160,2.422600
170,2.438200
180,2.468900
190,2.430500
200,2.458900
210,2.407200
220,2.409400
230,2.373800
240,2.409200
250,2.400200
260,2.374800
270,2.419000
280,2.424800
290,2.401900
300,2.443900
310,2.377300
320,2.393600
330,2.420500
340,2.363800
350,2.383600
360,2.399900
370,2.411500
380,2.443400
390,2.425600
400,2.448600
410,2.379500
420,2.428300
430,2.369200
440,2.393400
450,2.382300
460,2.388000
470,2.388100
480,2.394800
490,2.437700
500,2.324300
510,2.345200
520,2.371100
530,2.343200
540,2.393000
550,2.404400
560,2.381700
570,2.400500
580,2.360300
590,2.385500
600,2.333400
610,2.335000
620,2.380100
630,2.407000
640,2.366600
650,2.335000
660,2.359500
670,2.384600
680,2.356100
690,2.393600
700,2.394700
710,2.354800
720,2.377000
730,2.364500
740,2.413300
750,2.329000
760,2.346500
770,2.385200
780,2.354100
790,2.349600
800,2.382400
810,2.396700
820,2.386500
830,2.371000
840,2.373900
850,2.408200
860,2.393600
870,2.369800
880,2.391700
890,2.318300
900,2.348100
910,2.366600
920,2.367100
930,2.408100
940,2.329400
950,2.440900
960,2.405400
970,2.404300
980,2.361600
990,2.356200
1000,2.357100
1010,2.321000
1020,2.374600
1030,2.367300
1040,2.343400
1050,2.367200
1060,2.360000
1070,2.361100
1080,2.337000
1090,2.384200
1100,2.319400
1110,2.379000
1120,2.373600
1130,2.350700
1140,2.366900
1150,2.296800
1160,2.397900
1170,2.345500
1180,2.374900
1190,2.331200
1200,2.352100
1210,2.308800
1220,2.331900
1230,2.360600
1240,2.406000
1250,2.325500
1260,2.381100
1270,2.345200
1280,2.366800
1290,2.351600
1300,2.361100
1310,2.359500
1320,2.337000
1330,2.321000
1340,2.332500
1350,2.355900
1360,2.382900
1370,2.350900
1380,2.276000
1390,2.379200
1400,2.357100
1410,2.341500
1420,2.319700
1430,2.358200
1440,2.354700
1450,2.399900
1460,2.382000
1470,2.360700
1480,2.364200
1490,2.352200
1500,2.331300
1510,2.336100
1520,2.333600
1530,2.329600
1540,2.306200
1550,2.311900
1560,2.356500
1570,2.351500
1580,2.367100
1590,2.335200
1600,2.377700
1610,2.386600
1620,2.321000
1630,2.349700
1640,2.338800
1650,2.334800
1660,2.386200
1670,2.369100
1680,2.297900
1690,2.324500
1700,2.334300
1710,2.360000
1720,2.366600
1730,2.316900
1740,2.372500
1750,2.349000
1760,2.373200
1770,2.344800
1780,2.358600
1790,2.366400
1800,2.355300
1810,2.379200
1820,2.331400
1830,2.366900
1840,2.373100
1850,2.383400
1860,2.312400
1870,2.327700
